文档,摘要,模型预测摘要
彭博社日前发布了一项名为“BSportsPower50”的榜单，该榜单用计分的形式，综合球员在进攻端、防守端以及各自位置上的发挥，统计列出了一份50人的球员影响力排名。苏亚雷斯以86.02分排名第一，梅西85.43分第二，伊布(84.91)和C罗(84.59)分列三四位。,球 员 榜 5 0 强 苏 神 第 一,苏 亚 雷 斯 ： S p p s o r e s t 球 员
北京时间5月21日下午，AC米兰宣布和老门将阿比亚蒂续约1年。阿比亚蒂从1998年开始就在米兰效力，后来被先后租借到尤文图斯、都灵和马德里竞技等队，2008年回归。新合同到2015年6月30日，即将年满37岁的阿比亚蒂有望终老红黑军团。,A C 米 兰 宣 布 续 约 阿 比 亚 蒂 一 年,阿 蒂 与 阿 森 纳 合 约
范加尔当地时间本周一正式入主老特拉福德，贝克汉姆在接受天空体育采访时表示，“对于曼联俱乐部和曼联的球迷来讲，拥有一位像他这样的主帅，绝对是件好事。对于吉格斯的退役，小贝说道：“他的退役让我惊讶，因为他依然保持着非常高的竞技水准。,贝 克 汉 姆 ： 范 加 尔 适 合 曼 联,范 克 尔 ： 我 对 曼 联 的 足 球
梅西接受《世界体育报》采访时说道：“这是一个艰难的赛季，而我也没能在最佳状态。像巴萨这样规模的俱乐部理应赢得冠军，但今年我们一事无成，这是全队的责任，不仅仅归咎于个人。这对全队来说都是一个令人失望的赛季。,梅 西 ： 本 赛 季 不 在 最 佳 状 态,梅 西 ： 我 们 的 一 个 艰 难
近日，内马尔在接受《华尔街日报》采访时表示，他还不够资格跟巴西传奇球星贝利相提并论，“能够被人拿来跟贝利这样伟大的球员作比较我很高兴，但他是球王，我只是想要踢球的孩子。,内 马 尔 ： 贝 利 是 球 王 ， 我 只 是 想 踢 球 的 孩 子,贝 利 ： 我 不 想 踢 球 ， 他 们 是 他 的 球
罗在接受皇马官网采访时表示“等到周六（北京时间周日凌晨）我会完全恢复，我会出现在决赛场上。首次代表皇马出战欧冠决赛，C罗心里别有一番滋味“决赛永远都是一个谜团，没人知道最终的结果会是怎样，但我坚信皇马会赢得最后的胜利。,C 罗 ： 欧 冠 决 赛 定 出 战 ， 皇 马 能 赢 得 胜 利,罗 永 永 ： 我 会 会 决 赛 出 现
当地时间5月20日，曼城在官网上宣布同横滨水手成为合作伙伴。曼城发表声明称，投资曰本J联赛球队是出于场内外两方面的考虑。曼城CEO费兰-索里亚诺为此次合作关系的确立感到高兴，“能在横滨水手已有的成功基础上投资并更进一步，我们为此感到激动。,曼 城 宣 布 入 股 J 联 赛 横 滨 水 手,滨 水 ： 滨 城 投 资 手 段 滨 水
在接受荷兰RTL电视台采访时，范加尔表示，自己的前助手兼好友穆里尼奥曾对他的执教履历表示过羡慕之情，他笑着说道：“何塞是最早发短信祝贺我在曼联上任的几个人之一，他说他很羡慕我曾经执教过那些俱乐部。,范 加 尔 ： 穆 里 尼 奥 羡 慕 我 的 执 教 履 历,曾 曾 任 我 的 执 教 人
上周二图雷31岁生日当天，曼城俱乐部却没一个人同他说声生日快乐”，他的经纪人迪米特里-塞卢克通过《太阳报》表达不满：亚亚很可能在今夏离开。他生日当天发生的事情意味着，曼城俱乐部压根都不在乎他。这是显而易见的。,亚 亚 图 雷 生 日 无 人 祝 福 经 纪 人 ： 他 已 考 虑 离 开,亚 雷 克 当 天 当 城
据《体坛报》消息，昨天上午，马云和助手参观了绿城中泰训练基地。在参观中，马云向足校的工作人员透露了他的想法：“马云说我们现在在青训方面的投入太少，如果他进来，每年至少要投资2000万到3000万，他说几千万算什么，十年也才几个亿。,马 云 称 青 训 每 年 将 投 3 0 0 0 万,马 云 ： 我 们 在 少 年 中 训 练
北京时间5月20日凌晨凌晨，巴塞罗那官网宣布正式宣布与梅西续约。根据西班牙媒体此前的报道，梅西的新合约将至2019年，税后年薪高达2000万欧元，这也将超越C罗1700万欧元，成为足坛第一高薪球员。,巴 萨 宣 布 梅 西 正 式 续 约 年 薪 超 C 罗 世 界 第 一,欧 媒 ： 巴 西 与 梅 西 正 式 合 约
英格兰主帅霍奇森确认，切尔西中场兰帕德将在今夏的巴西世界杯担任球队副队长。35岁的兰帕德在国家队曾有6次担任队长的经验，而根据霍奇森的安排，如果队长杰拉德因伤或停赛无法出场，那么队长袖标将交给兰帕德。,霍 奇 森 确 认 兰 帕 德 担 任 英 格 兰 副 队 长,帕 德 森 奇 队 奇 队 长 队
米卢昨日在深圳某足球活动的开幕式上说道:”我知道习主席对中国足球有三个愿望：进世界杯、举办世界杯、夺得世界杯冠军。其实这些都很好实现，要进世界杯可以联系我，要办世界杯可以找卡特尔足协，至于要夺得世界杯，这个稍后再说。,米 卢 : 能 帮 习 主 席 实 现 世 界 杯 愿 望,世 界 杯 ： 足 球 杯 可 能 是 个 世 界 杯
本赛季租借至埃弗顿效力的德乌洛费乌表示，他依然不清楚自己下赛季会在哪儿效力，但他还是表达了想要重回诺坎普证明自己的意向：“我已经在埃弗顿租借效力了一个赛季，现在我还处于等待当中。我希望重回巴萨，这是我的第一选择。,德 乌 洛 费 乌 ： 希 望 下 赛 季 重 回 巴 萨,德 租 借 力 巴 萨 回 归
《罗马体育报》消息，巴洛特利在周五晚上和弟弟外出就餐时，家中遭小偷洗劫一空，巴神收藏的黄金首饰、名表等贵重物品均被盗走，窃贼还开走了巴神一辆价值10万英镑的保时捷。事后巴洛特利发了一条推特：“我感到很空虚，现在没有任何情绪…,巴 神 豪 宅 被 盗 黄 金 名 表 跑 车 一 卷 而 空,巴 神 一 夜 间 小 偷 ？
国际米兰已经官方证实在拒绝续签合约之后，坎比亚索和米利托将会离队，他们目前的合约均将于6月30日到期。国米体育总监奥西里奥在新闻发布会说：“由于球队策略、重建，以及年轻球员等原因，我们不会给他,国 际 米 兰 官 方 证 实 坎 比 亚 索 、 米 利 托 将 离 队,米 兰 奥 ： 合 肥 球 队 将 与 奥 斯 卡 离 队
违反欧足联财政公平政策处罚结果已于当地时间周五公布，曼城和巴黎均被欧足联处以6000万欧元的罚款。针对媒体就罚款作何处理这样一个问题，欧足联官方发言人佩德罗-平托表示，“欧足联将会把这部分处罚所得款项分配给其他欧洲俱乐部。,欧 足 联 ： 罚 款 将 分 配 给 欧 洲 非 受 罚 俱 乐 部,欧 足 联 将 被 罚 6 0 0 0 万 欧 巴 联 言
北京时间5月17日凌晨，英超曼城以及法甲巴黎圣日耳曼队因违反财政公平政策(FFP)，遭到欧足联罚款6000万欧元的重罚，同时球队被要求降低工资水平、限制单笔交易最大额。另外，球队在下赛季欧冠的报名人数将由原有的25人减少为21人。,曼 城 巴 黎 遭 重 罚 ！ 6 0 0 0 万 罚 款 + 欧 冠 少 4 人,英 超 杯 遭 欧 足 球 队 罚 款
国际足联已经就布拉特“卡塔尔承办2022年世界杯是个错误的评论进行了澄清：“主席在回答记者提问时重申，卡塔尔夏天的气温非常高，在夏天举办世界杯是个错误。他绝无质疑卡塔尔作为2022年世界杯举办国之意。,F I F A 澄 清 布 拉 特 言 论 ： 针 对 夏 天 而 非 卡 塔 尔,世 界 杯 ： 我 们 的 世 界 杯
伊布在接受采访时表示，他依然有决心夺得欧冠冠军，但就算不能如愿，他的职业生涯也是成功的：我还没有拿过欧冠冠军，我很想拿一次，但这并不容易。如果我明天就选择退役，我也已经拥有22个冠军头衔了。我会很高兴，会将自己视为非常成功的球员。,伊 布 ： 没 欧 冠 我 依 然 成 功,伊 布 ： 我 愿 为 我 的 球 员
阿森纳主帅温格表示，足总杯决赛的最终结果不会决定他是否跟球队续约，教授在为Eurosport所撰写的博客中写道：“周六的足总杯决赛结果不会对我在阿森纳的未来产生影响，我下赛季还会不会担任球队主帅？是的，应该会。,温 格 ： 足 总 杯 决 赛 结 果 不 影 响 留 队 前 景,温 格 ： 不 会 担 任 足 球
国际足联主席布拉特日前承认，将2022年世界杯交由卡塔尔主办是个错误，这当然是个错误，有关卡塔尔的技术报告当中曾明确说过，那里的天气太热，但多数人还是投票给了卡塔尔。考虑到卡塔尔的气候，这届世界杯有可能会由夏天改到冬天举办。,布 拉 特 ： 让 卡 塔 尔 办 世 界 杯 是 个 错 误,世 界 杯 热 气 球 主 要 错 误
利物浦于当地时间周三同沙姆洛克流浪者队进行了一场友谊赛，期间球场上空有曼联球迷驾驶飞机打出横幅调侃红军队长杰拉德联赛无冠“吉格斯13，杰拉德0，曼联20。”这已是一周之内第二次出现曼联球迷利用飞机打出横幅嘲讽无冕之王杰拉德的情况了。,曼 联 球 迷 飞 机 拉 横 幅 再 讽 杰 拉 德,德 格 利 物 浦 曼 联 赛 红 德 拉 横 幅
《武汉晚报》：昨天，一条关于“武汉两名12岁小孩因为踢足球被罚站”的微博引起广大网友热议。昨天下午，记者来到武汉吴家山一小，采访了几位当事人，事情并没有那么严重，两名小球员已经恢复足球训练。,老 师 回 应 学 生 被 禁 止 踢 球 校 长 : 学 习 不 好 就 踢 不 好,武 汉 小 伙 两 球 踢 两 球 足 球 踢 两 球 踢 球
离5月25日的欧冠决赛还有9天的时间，C罗依然是皇马关注的焦点。队医建议C罗最后一轮联赛休息，保证自己能以最好的状态出现在里斯本，俱乐部也不希望C罗出战，但C罗想要上场，并且取得进球，以此确保自己能够加冕西甲射手王和独享欧洲射手金靴奖。,金 靴 还 是 欧 冠 ？ C 罗 陷 两 难 困 境,C 罗 ： 射 手 赛 季 ， 我 加 射
当地时间5月15日，恒大外援迪亚曼蒂在接受《米兰体育报》采访时表示“自己之所以被普兰德利放弃，并不是因为自己在中超效力，只是普兰德利从战术安排上作出的选择而已。”另外，迪亚曼蒂承认自己的确是被广州恒大高额年薪所打动。,迪 亚 曼 蒂 : 落 选 世 界 杯 与 中 超 无 关 因 高 薪 来 恒 大,恒 大 普 利 亚 洲 ： 恒 大 承 认 力
15日晚，绿城老板宋卫平在接受《体坛周报》采访时表示，“马云将会同绿城控股展开一系列合作，并入股杭州绿城俱乐部。”对于未来的绿城足球，到底是姓‘宋’还是姓‘马’，宋卫平说：“至少在相当长的时间里，阿里将只占有49%的股份。,宋 卫 平 确 认 马 云 将 入 股 绿 城 4 9 % 球 队 还 姓 宋,阿 里 巴 巴 将 在 杭 州 开 绿 城
北京时间5月15日，巴萨队长普约尔召开新闻发布会，含泪正式告别巴萨。在为巴萨服役15年出战593次之后，“狮王”普约尔终于要离开了。回首自己的红蓝生涯，普约尔表示很满足：”我已经是很多孩子的偶像，这19年来，我每天都能做着自己最热爱的事业。,巴 萨 队 长 含 泪 正 式 告 别 球 队,蓝 狮 ： 爱 尔 巴 萨 的 爱 恨
《马卡报》消息：欧足联官网日前更新了旗下俱乐部积分排名，皇马积159.456分高居第一，巴萨（157.456分）拜仁（154.328分）分列二三位。皇马上一次排名欧洲俱乐部之首得追溯至2005年，自那以后皇马排名不断下滑，一度跌至第13位。,皇 马 9 年 后 重 返 欧 足 联 俱 乐 部 排 名 榜 首,皇 马 首 次 下 降 ， 拜 仁
纳斯里女友阿娜拉昨日曾因在社交媒体上发表“F**k法国，F**k德尚等言论而引起轩然大波。但今天她便在社交媒体上为自己侮辱法国的行为表示道歉，“如果我冒犯了任何一位法国朋友，我向你们道歉。我之前所说的并不是针对整个法国。,纳 斯 里 女 友 就 辱 骂 法 国 一 事 道 歉,法 国 女 友 为 法 国 翼 言 论 道 歉
《北京晚报》：从晋级角度说，这场失利无关大局，但其背后却折射出中国足球多年来的一个老毛病，当恒大好不容易迈过了打平就出线这道坎后，却倒在了自己松劲的门槛上。胜利的定义到底是什么？是出线就成还是不断地挑战自我？,媒 体 质 疑 恒 大 ： 奖 金 少 了 就 输 球 ?,老 大 ， 利 用 线 下 的 关 门
勒夫认为葡萄牙几乎是凭借C罗的一己之力才获得世界杯的参赛资格，“去年C罗毫无争议的赢得了金球奖，他在比赛中总是能打进两三个进球，包括在国家队中，他几乎一个人决定了对阵瑞典的附加赛。尽管葡萄牙有许多优秀的球员，但他们依旧非常依赖于C罗。,勒 夫 ： 葡 萄 牙 过 于 依 赖 C 罗,C 罗 ： 勒 夫 进 球 葡 萄 牙
法国国家队主帅德尚在解释为何没有选择纳斯里时，曾表示自己能感觉到纳斯里不愿意作为替补球员在球队中。对此纳斯里回应：你可以去问每一名球员，看他们谁愿意坐在替补席上？没有人会愿意。如果这就是他们所找的理由，那真是有点令人难以接受。,纳 斯 里 ： 德 尚 的 理 由 难 以 接 受,意 愿 意 愿 为 何 不 愿 意 作 为
由于率队战绩不佳，莫耶斯上月已被曼联高层解雇。然而在内维尔看来，曼联表现不佳却有更深层次的原因，他表示，“曼联最近所买入的球员很少有表现足够优秀的。曼联一直在盲目买人，但是买来的人还不是他们的首选。,加 里 - 内 维 尔 ： 习 惯 性 盲 目 买 人 害 苦 曼 联,莫 耶 斯 ： 联 想 在 曼 联 买 下
